Finite Time (ns): ,601,,Fuzzy Time (ns): ,336826
Finite Time (ns): ,601,,Fuzzy Time (ns): ,375887
Finite Time (ns): ,601,,Fuzzy Time (ns): ,560976
Finite Time (ns): ,601,,Fuzzy Time (ns): ,319699
Finite Time (ns): ,601,,Fuzzy Time (ns): ,451605
Finite Time (ns): ,601,,Fuzzy Time (ns): ,384300
Finite Time (ns): ,601,,Fuzzy Time (ns): ,359962
Finite Time (ns): ,601,,Fuzzy Time (ns): ,370178
Finite Time (ns): ,601,,Fuzzy Time (ns): ,356657
Finite Time (ns): ,601,,Fuzzy Time (ns): ,325409
Finite Time (ns): ,300,,Fuzzy Time (ns): ,393315
Finite Time (ns): ,300,,Fuzzy Time (ns): ,381295
Finite Time (ns): ,901,,Fuzzy Time (ns): ,274329
Finite Time (ns): ,601,,Fuzzy Time (ns): ,463023
Finite Time (ns): ,601,,Fuzzy Time (ns): ,785426
Finite Time (ns): ,301,,Fuzzy Time (ns): ,551361
Finite Time (ns): ,902,,Fuzzy Time (ns): ,827792
Finite Time (ns): ,601,,Fuzzy Time (ns): ,594628
Finite Time (ns): ,601,,Fuzzy Time (ns): ,498479
Finite Time (ns): ,601,,Fuzzy Time (ns): ,595230
Finite Time (ns): ,902,,Fuzzy Time (ns): ,816976
Finite Time (ns): ,901,,Fuzzy Time (ns): ,695887
Finite Time (ns): ,300,,Fuzzy Time (ns): ,566985
Finite Time (ns): ,15625,,Fuzzy Time (ns): ,526722
Finite Time (ns): ,601,,Fuzzy Time (ns): ,683567
Finite Time (ns): ,601,,Fuzzy Time (ns): ,714215
Finite Time (ns): ,601,,Fuzzy Time (ns): ,579905
Finite Time (ns): ,601,,Fuzzy Time (ns): ,583511
Finite Time (ns): ,601,,Fuzzy Time (ns): ,656224
Finite Time (ns): ,300,,Fuzzy Time (ns): ,519511
Finite Time (ns): ,13522,,Fuzzy Time (ns): ,674553
Finite Time (ns): ,601,,Fuzzy Time (ns): ,569990
Finite Time (ns): ,301,,Fuzzy Time (ns): ,562178
Finite Time (ns): ,901,,Fuzzy Time (ns): ,628282
Finite Time (ns): ,601,,Fuzzy Time (ns): ,719624
Finite Time (ns): ,601,,Fuzzy Time (ns): ,564882
Finite Time (ns): ,601,,Fuzzy Time (ns): ,362066
Finite Time (ns): ,301,,Fuzzy Time (ns): ,341333
Finite Time (ns): ,600,,Fuzzy Time (ns): ,268620
Finite Time (ns): ,901,,Fuzzy Time (ns): ,385201
Finite Time (ns): ,601,,Fuzzy Time (ns): ,395718
Finite Time (ns): ,300,,Fuzzy Time (ns): ,355155
Finite Time (ns): ,300,,Fuzzy Time (ns): ,356657
Finite Time (ns): ,301,,Fuzzy Time (ns): ,335323
Finite Time (ns): ,601,,Fuzzy Time (ns): ,256901
Finite Time (ns): ,301,,Fuzzy Time (ns): ,407436
Finite Time (ns): ,600,,Fuzzy Time (ns): ,396620
Finite Time (ns): ,601,,Fuzzy Time (ns): ,311887
Finite Time (ns): ,301,,Fuzzy Time (ns): ,331117
Finite Time (ns): ,601,,Fuzzy Time (ns): ,279436
Finite Time (ns): ,1202,,Fuzzy Time (ns): ,419154
Finite Time (ns): ,601,,Fuzzy Time (ns): ,322403
Finite Time (ns): ,601,,Fuzzy Time (ns): ,390009
Finite Time (ns): ,601,,Fuzzy Time (ns): ,344939
Finite Time (ns): ,601,,Fuzzy Time (ns): ,391211
Finite Time (ns): ,902,,Fuzzy Time (ns): ,371680
Finite Time (ns): ,601,,Fuzzy Time (ns): ,375586
Finite Time (ns): ,901,,Fuzzy Time (ns): ,379192
Finite Time (ns): ,301,,Fuzzy Time (ns): ,354254
Finite Time (ns): ,601,,Fuzzy Time (ns): ,739756
Finite Time (ns): ,300,,Fuzzy Time (ns): ,593727
Finite Time (ns): ,601,,Fuzzy Time (ns): ,655023
Finite Time (ns): ,601,,Fuzzy Time (ns): ,674854
Finite Time (ns): ,601,,Fuzzy Time (ns): ,670947
Finite Time (ns): ,301,,Fuzzy Time (ns): ,779417
Finite Time (ns): ,601,,Fuzzy Time (ns): ,718722
Finite Time (ns): ,601,,Fuzzy Time (ns): ,562178
Finite Time (ns): ,301,,Fuzzy Time (ns): ,713614
Finite Time (ns): ,300,,Fuzzy Time (ns): ,377089
Finite Time (ns): ,300,,Fuzzy Time (ns): ,372582
Finite Time (ns): ,601,,Fuzzy Time (ns): ,398722
Finite Time (ns): ,601,,Fuzzy Time (ns): ,335925
Finite Time (ns): ,601,,Fuzzy Time (ns): ,340432
Finite Time (ns): ,301,,Fuzzy Time (ns): ,359662
Finite Time (ns): ,300,,Fuzzy Time (ns): ,281239
Finite Time (ns): ,600,,Fuzzy Time (ns): ,338629
Finite Time (ns): ,601,,Fuzzy Time (ns): ,463924
Finite Time (ns): ,601,,Fuzzy Time (ns): ,545652
Finite Time (ns): ,301,,Fuzzy Time (ns): ,427567
Finite Time (ns): ,601,,Fuzzy Time (ns): ,530028
Finite Time (ns): ,901,,Fuzzy Time (ns): ,392714
Finite Time (ns): ,601,,Fuzzy Time (ns): ,341333
Finite Time (ns): ,301,,Fuzzy Time (ns): ,664638
Finite Time (ns): ,601,,Fuzzy Time (ns): ,557671
Finite Time (ns): ,301,,Fuzzy Time (ns): ,593126
Finite Time (ns): ,601,,Fuzzy Time (ns): ,629784
Finite Time (ns): ,601,,Fuzzy Time (ns): ,652319
Finite Time (ns): ,601,,Fuzzy Time (ns): ,642704
Finite Time (ns): ,601,,Fuzzy Time (ns): ,495775
Finite Time (ns): ,601,,Fuzzy Time (ns): ,651718
Finite Time (ns): ,601,,Fuzzy Time (ns): ,731943
Finite Time (ns): ,2103,,Fuzzy Time (ns): ,363568
Finite Time (ns): ,300,,Fuzzy Time (ns): ,376187
Finite Time (ns): ,601,,Fuzzy Time (ns): ,289352
Finite Time (ns): ,601,,Fuzzy Time (ns): ,394816
Finite Time (ns): ,300,,Fuzzy Time (ns): ,385502
